date,state,district,pincode,total,anomaly_score
2025-09-22,Meghalaya,West Jaintia Hills,793150,34,-0.07425544556614572
2025-09-22,Bihar,Purnia,854315,46,-0.043314505393023506
2025-09-22,Uttar Pradesh,Bahraich,271830,17,-0.03037132732606429
2025-09-22,Uttar Pradesh,Agra,282001,32,-0.009479480983255462
2025-09-22,Uttar Pradesh,Aligarh,202001,40,-0.033652814161745925
2025-09-22,Madhya Pradesh,Barwani,451666,28,-0.056635188443295514
2025-09-22,Madhya Pradesh,Morena,476001,39,-0.08350722408840794
2025-09-22,Meghalaya,East Khasi Hills,793015,8,-0.003699169029806715
2025-09-22,Meghalaya,East Khasi Hills,793110,14,-0.016357122416354897
2025-09-22,Meghalaya,East Khasi Hills,793121,17,-0.021822905785413682
2025-09-23,Bihar,Gaya,824206,37,-0.002115253639746295
2025-09-23,Bihar,Sheikhpura,811105,33,-0.00287691309884075
2025-09-23,Delhi,East Delhi,110092,27,-0.005991766416807653
2025-09-23,Madhya Pradesh,Burhanpur,450331,37,-0.006483487411040767
2025-09-23,Madhya Pradesh,Morena,476001,55,-0.04728972108916174
2025-09-23,Maharashtra,Nashik,423203,49,-0.07478269845644503
2025-09-23,Meghalaya,West Garo Hills,794104,16,-0.011997998619566519
2025-09-23,Meghalaya,West Jaintia Hills,793150,25,-0.04191085875940059
2025-09-23,Meghalaya,West Khasi Hills,793119,26,-0.06059322561637859
2025-09-23,Rajasthan,Alwar,301001,35,-0.010124437400193198
2025-09-23,Rajasthan,Bikaner,331803,40,-0.02098912865676683
2025-09-23,Uttar Pradesh,Bahraich,271830,20,-0.0019346857875650603
2025-09-23,Uttar Pradesh,Gautam Buddha Nagar,201301,47,-0.06817838474868454
2025-09-23,Uttar Pradesh,Hardoi,241001,33,-0.00287691309884075
2025-09-23,Uttar Pradesh,Kanpur Nagar,208001,43,-0.05649671692028968
2025-09-23,Bihar,East Champaran,845433,28,-0.05066695620883688
2025-09-23,Bihar,Kishanganj,855107,42,-0.020645494718090407
2025-09-23,Bihar,Nawada,805103,22,-0.021796788297091307
2025-09-23,Bihar,Samastipur,848114,33,-0.0008824334280339574
2025-09-23,Delhi,West Delhi,110059,29,-0.0489392687839022
2025-09-23,Madhya Pradesh,Jhabua,457661,64,-0.05524318349241719
2025-09-23,Maharashtra,Aurangabad,431001,58,-0.05400246371021433
2025-09-23,Meghalaya,East Garo Hills,794111,23,-0.044013004214780604
2025-09-23,Meghalaya,East Khasi Hills,793121,21,-0.03539788698769131
2025-09-23,Meghalaya,South Garo Hills,794102,25,-0.011243940476488024
2025-09-23,Bihar,Araria,854311,42,-0.05850242893005464
2025-09-23,Bihar,Katihar,854317,41,-0.006019593071853957
2025-09-23,Bihar,Nawada,805104,21,-0.005044316215443545
2025-09-23,Uttar Pradesh,Bahraich,271855,23,-0.035317036993558926
2025-09-23,Uttar Pradesh,Bareilly,243001,24,-0.011433703957643426
2025-09-23,Manipur,Churachandpur,795128,27,-0.02009592258000359
2025-09-23,Meghalaya,East Garo Hills,794110,19,-0.03298103208347747
2025-09-23,Uttar Pradesh,Maharajganj,273305,16,-0.000805909819121875
2025-09-23,Uttar Pradesh,Meerut,250002,36,-0.00472585843390283
